176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/modernizr.js?ver=3.3.1 HTTP/3" 200 10015 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/fusion-builder/assets/js/min/library/SplitType.js?ver=3.12.2 HTTP/3" 200 4155 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/fusion-builder/assets/js/min/library/ScrollTrigger.js?ver=3.12.2 HTTP/3" 200 16985 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/isotope.js?ver=3.0.4 HTTP/3" 200 9694 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/packery.js?ver=2.0.0 HTTP/3" 200 4196 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/swiper.js?ver=11.2.5 HTTP/3" 200 40601 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/bootstrap.transition.js?ver=3.3.6 HTTP/3" 200 322 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/bootstrap.tooltip.js?ver=3.3.5 HTTP/3" 200 3656 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/jquery.requestAnimationFrame.js?ver=1 HTTP/3" 200 295 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/jquery.easing.js?ver=1.3 HTTP/3" 200 719 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
